,city,latitude,longitude,runners,distance,population,canton
771,I-Clivio (VA),45.8642658,8.9309469,1,326019.0,nan,nan
772,Montagny-la-Ville,46.8174635,6.995116899999999,1,48955.0,nan,nan
773,Delémont,47.365837,7.345155500000001,14,152026.0,12593,JU
774,F-Ramonchamp,47.891242,6.738688,1,210328.0,nan,nan
775,St-Aubin-Sauges,46.89295329999999,6.7705679,5,56460.0,nan,nan
776,Villette (Lavaux),46.4991846,6.7096417,3,6973.0,nan,nan
777,F-Villard,n,a,1,,nan,nan
778,Essert FR,46.73333100000001,7.166666,2,190927.0,nan,nan
779,Vesin,49.6152553,13.8242223,2,857227.0,nan,nan
780,Juriens,46.6913802,6.448674,3,35935.0,nan,nan
781,Malleray,47.23844700000001,7.271144899999999,4,125696.0,nan,nan
782,Bassersdorf,47.4434608,8.6287132,1,235467.0,11561,ZH
783,F-Huningue,47.593723,7.581459000000001,2,206115.0,nan,nan
784,Pompaples,46.6667994,6.5107091,9,25946.0,nan,nan
785,Niederscherli,46.883334,7.383337999999999,1,97093.0,nan,nan
786,Fleurier,46.9023107,6.5808426,4,68213.0,nan,nan
787,Cressier NE,47.050861,7.037362399999999,1,87242.0,nan,nan
788,Cheyres,46.8167597,6.789268799999999,2,50258.0,nan,nan
789,Treycovagnes,46.7739321,6.6092062,4,39708.0,nan,nan
790,Grenchen,47.1922876,7.3958907,3,117960.0,16741,SO
791,GB-Lausanne,51.4712809,-0.0521569,1,915450.0,nan,nan
792,Le Landeron,47.0581255,7.0730626,8,88217.0,4501,NE
793,F-Guereins,46.1090469,4.780163,1,205566.0,nan,nan
794,F-Bornay,46.616144,5.552657,2,140099.0,nan,nan
795,F-Dompierre sur Mont,46.559159,5.609027999999999,1,120052.0,nan,nan
796,F-Belfort,47.63967400000001,6.863849,5,191322.0,nan,nan
797,Niederglatt ZH,47.49048570000001,8.5033814,1,224769.0,nan,nan
798,Riex,46.4934152,6.7362718,1,9905.0,nan,nan
799,D-Neustadt,49.3501864,8.1486886,1,440026.0,nan,nan
800,F-Mondreville,48.902726,1.553279,1,447712.0,nan,nan
801,F-Bessan,43.36140899999999,3.427011,1,556373.0,nan,nan
802,St-Imier,47.1522207,6.9962252,1,96817.0,nan,nan
803,Vinzel,46.4474998,6.2794339,1,31989.0,nan,nan
804,B-Turnhout,51.3216509,4.9375577,1,726222.0,nan,nan
805,F-La Salvetat St Gilles,43.576698,1.272105,1,764334.0,nan,nan
806,Grimisuat,46.25837000000001,7.382350000000001,6,103025.0,nan,nan
807,Villarimboud,46.7394735,6.962477199999999,1,42771.0,nan,nan
808,F-Bitche,49.050415,7.427276000000001,1,408512.0,nan,nan
809,Ependes FR,46.7537683,7.145980300000001,5,68435.0,nan,nan
810,I-Introd (AO),45.6920648,7.1848266,1,159680.0,nan,nan
811,NL-Wassenaar,52.1429096,4.4012129,1,820541.0,nan,nan
812,Ardon,47.782461,1.874874,4,,nan,nan
813,F-Erstein,48.42353,7.66326,1,313996.0,nan,nan
814,I-Firenze (FI),43.7695604,11.2558136,1,628250.0,nan,nan
815,VD Ecublens,46.5296363,6.561525199999999,1,5703.0,nan,nan
816,F-Ville en Sallaz,46.146528,6.422414,1,104434.0,nan,nan
817,Biasca,46.3580008,8.9704651,2,334331.0,6168,TI
